text,categories,subcategory
short circuit fire near school,['fire'],critical
safety drill conducted at market,['non-emergency'],normal
everything is fine at market,['non-emergency'],normal
everything is fine at factory,['non-emergency'],normal
car stolen from residential area,['police'],normal
need ambulance for burns,['health'],critical
gunshots heard near school,['police'],normal
robbery reported at office,['police'],critical
flames spreading rapidly in office,['fire'],normal
burglary attempt at residential area,['police'],normal
explosion heard at office,['fire'],normal
"severe severe headache, need medical help",['health'],normal
fight broke out near factory,['police'],critical
gunshots heard near station,['police'],critical
"severe breathing difficulty, need medical help",['health'],critical
short circuit fire near station,['fire'],critical
"station is burning, people trapped inside",['fire'],critical
false alarm triggered in office,['non-emergency'],normal
safety drill conducted at warehouse,['non-emergency'],normal
false alarm triggered in school,['non-emergency'],normal
car stolen from market,['police'],critical
smoke coming from the warehouse,['fire'],normal
individual suffering from severe headache,['health'],critical
gunshots heard near residential area,['police'],critical
"severe severe headache, need medical help",['health'],critical
false alarm triggered in office,['non-emergency'],normal
training exercise completed successfully,['non-emergency'],normal
patient is fainted and not responding,['health'],normal
gunshots heard near warehouse,['police'],critical
gunshots heard near factory,['police'],critical
suspect with gun seen in warehouse,['police'],normal
flames spreading rapidly in office,['fire'],critical
training exercise completed successfully,['non-emergency'],normal
routine maintenance ongoing,['non-emergency'],normal
explosion heard at school,['fire'],critical
burglary attempt at office,['police'],critical
routine maintenance ongoing,['non-emergency'],normal
no issues reported in school,['non-emergency'],normal
individual suffering from severe headache,['health'],normal
person collapsed after accident,['health'],critical
no issues reported in station,['non-emergency'],normal
no issues reported in warehouse,['non-emergency'],normal
gunshots heard near market,['police'],critical
training exercise completed successfully,['non-emergency'],normal
patient is injured and not responding,['health'],normal
everything is fine at factory,['non-emergency'],normal
short circuit fire near office,['fire'],normal
need ambulance for severe headache,['health'],critical
everything is fine at office,['non-emergency'],normal
"severe chest pain, need medical help",['health'],critical
person fainted after accident,['health'],critical
suspect with crowbar seen in office,['police'],normal
"severe breathing difficulty, need medical help",['health'],critical
gunshots heard near school,['police'],critical
need ambulance for chest pain,['health'],critical
safety drill conducted at market,['non-emergency'],normal
individual suffering from severe headache,['health'],critical
no issues reported in station,['non-emergency'],normal
burglary attempt at station,['police'],critical
suspect with crowbar seen in residential area,['police'],normal
robbery reported at residential area,['police'],critical
explosion heard at school,['fire'],critical
"market is burning, people trapped inside",['fire'],normal
training exercise completed successfully,['non-emergency'],normal
patient is bleeding and not responding,['health'],normal
everything is fine at office,['non-emergency'],normal
smoke coming from the residential area,['fire'],normal
training exercise completed successfully,['non-emergency'],normal
fight broke out near factory,['police'],critical
car stolen from residential area,['police'],critical
false alarm triggered in school,['non-emergency'],normal
fight broke out near warehouse,['police'],critical
false alarm triggered in station,['non-emergency'],normal
car stolen from residential area,['police'],critical
everything is fine at warehouse,['non-emergency'],normal
no issues reported in school,['non-emergency'],normal
suspect with bat seen in factory,['police'],critical
"factory is burning, people trapped inside",['fire'],critical
"warehouse is burning, people trapped inside",['fire'],critical
suspect with knife seen in market,['police'],normal
flames spreading rapidly in warehouse,['fire'],critical
suspect with bat seen in office,['police'],critical
burglary attempt at station,['police'],normal
no issues reported in warehouse,['non-emergency'],normal
explosion heard at station,['fire'],normal
gunshots heard near factory,['police'],critical
burglary attempt at residential area,['police'],critical
short circuit fire near market,['fire'],critical
false alarm triggered in school,['non-emergency'],normal
routine maintenance ongoing,['non-emergency'],normal
"severe severe headache, need medical help",['health'],critical
robbery reported at residential area,['police'],normal
"school is burning, people trapped inside",['fire'],normal
car stolen from school,['police'],critical
patient is injured and not responding,['health'],normal
person unconscious after accident,['health'],critical
short circuit fire near factory,['fire'],critical
suspect with crowbar seen in market,['police'],normal
fire in the market,['fire'],normal
smoke coming from the factory,['fire'],normal
gunshots heard near school,['police'],critical
routine maintenance ongoing,['non-emergency'],normal
everything is fine at factory,['non-emergency'],normal
person injured after accident,['health'],critical
explosion heard at warehouse,['fire'],normal
"severe burns, need medical help",['health'],critical
routine maintenance ongoing,['non-emergency'],normal
routine maintenance ongoing,['non-emergency'],normal
safety drill conducted at residential area,['non-emergency'],normal
explosion heard at office,['fire'],critical
everything is fine at station,['non-emergency'],normal
explosion heard at warehouse,['fire'],critical
routine maintenance ongoing,['non-emergency'],normal
"residential area is burning, people trapped inside",['fire'],critical
training exercise completed successfully,['non-emergency'],normal
robbery reported at residential area,['police'],critical
breathing difficulty and heavy bleeding at scene,['health'],critical
no issues reported in residential area,['non-emergency'],normal
no issues reported in school,['non-emergency'],normal
"market is burning, people trapped inside",['fire'],critical
burglary attempt at school,['police'],normal
car stolen from station,['police'],normal
need ambulance for burns,['health'],critical
need ambulance for severe headache,['health'],critical
burglary attempt at market,['police'],normal
robbery reported at station,['police'],normal
"severe burns, need medical help",['health'],normal
burglary attempt at office,['police'],normal
patient is bleeding and not responding,['health'],normal
flames spreading rapidly in residential area,['fire'],normal
fight broke out near factory,['police'],normal
suspect with crowbar seen in factory,['police'],critical
individual suffering from burns,['health'],normal
training exercise completed successfully,['non-emergency'],normal
"severe burns, need medical help",['health'],critical
breathing difficulty and heavy bleeding at scene,['health'],normal
car stolen from school,['police'],normal
training exercise completed successfully,['non-emergency'],normal
robbery reported at factory,['police'],critical
